planet_name,orbital_period,semi_major_axis,planet_mass,planet_radius,stellar_mass,stellar_temp,equilibrium_temp,eccentricity,discovery_method
OGLE-TR-182 b,3.9791,0.051,320.995,12.666,1.14,5924,NA,0,Transit
OGLE-TR-211 b,3.67724,0.051,327.351,15.244,1.33,6325,NA,0,Transit
OGLE-TR-56 b,1.2119189,0.02383,441.77,15.278,1.228,6050,2212,NA,Transit
Qatar-1 b,1.4200242,0.02332,411.27202,12.811887,0.838,5013,1418,0,Transit
Qatar-2 b,1.33711647,0.02153,792.635,14.056,0.743,4645,1344,0,Transit
SWEEPS-4 b,4.2,0.055,1207.7,9.079,1.24,NA,NA,NA,Transit
SWEEPS-11 b,1.796,0.03,3082.82,12.666,1.1,NA,NA,NA,Transit
TrES-1 b,3.03007,NA,266.9772,12.66617,1.04,5230,NA,0,Transit
TrES-3 b,1.30618581,0.02282,607.03,14.975,0.928,5650,NA,0,Transit
TrES-4 b,3.55395,NA,247.9074,18.04649,1.08,6200,NA,0,Transit
TrES-5 b,1.48224686,0.02459,568.9157,13.383546,0.901,5171,1480,NA,Transit
WASP-10 b,3.0927616000000002,0.03781,1001.12,12.106,0.75,4675,1370,NA,Transit
WASP-11 b,3.72247,NA,251.0857,12.44199,1.42,4800,NA,0,Transit
WASP-13 b,4.35301,NA,114.4188,13.67498,0.72,5950,NA,0,Transit
WASP-14 b,2.24375,NA,2809.6172,15.46842,1.62,6475,NA,0.09,Transit
WASP-15 b,3.7521,NA,171.6282,15.80469,1.18,6300,NA,0,Transit
WASP-16 b,3.1186,NA,394.1092,13.67498,1.78,5700,NA,0,Transit
WASP-17 b,3.73543,NA,247.9074,20.96083,2.28,6550,NA,0,Transit
WASP-18 b,0.94145223,0.02024,3241.8497514,13.89913607,1.294,6432,2429,0.0051,Transit
WASP-19 b,0.78883852,0.01652,366.77398168,15.86070769,0.965,5616,2113,0.0126,Transit
WASP-1 b,2.5199454,0.03889,271.415,16.623,1.24,NA,NA,0,Transit
WASP-21 b,4.322482,0.052,95.345,11.99,NA,NA,NA,0,Transit
WASP-22 b,3.53269,NA,212.9461,13.78707,1.46,6000,NA,0.02,Transit
WASP-24 b,2.34121,NA,394.1092,15.46842,1.43,6075,NA,0,Transit
WASP-25 b,3.7648337,NA,179.25522155,13.80946422,0.962,5697,1217,NA,Transit
WASP-26 b,2.7566,NA,270.1555,13.56289,0.86,6034,NA,0,Transit
WASP-28 b,3.40883495,0.0442,282.54945382,13.66374747,0.993,NA,1456,0,Transit
WASP-29 b,3.92273,NA,73.1009,8.63093,0.77,4800,NA,0.03,Transit
WASP-2 b,2.152175,0.03144,295.89973,12.116929,0.895,5180,1311,NA,Transit
WASP-31 b,3.4059096,0.04659,151.916,17.363,1.163,6302,NA,0,Transit
WASP-32 b,2.71866,NA,835.8929,10.76064,0.72,6140,NA,0,Transit
WASP-33 b,1.21987,0.0239,665.21819,17.855937,1.495,7430,2781.7,NA,Transit
WASP-34 b,4.31768,NA,177.9848,11.209,0.96,5700,NA,0.04,Transit
WASP-35 b,3.16158,NA,225.6593,14.5717,1.05,5990,NA,0,Transit
WASP-36 b,1.53736596,0.02677,750.39663,14.874343,1.081,5959,1733,NA,Transit
WASP-37 b,3.577469,0.0446,572.07,13.002,0.925,5800,NA,0,Transit
WASP-38 b,6.87188,NA,1093.3352,13.78707,1.76,6180,NA,0.03,Transit
WASP-39 b,4.0552941,0.048280000000000003,89.31023,14.336311,0.913,5485,1166,NA,Transit
WASP-3 b,1.84683,NA,772.3269,15.91678,1.62,6400,NA,0,Transit
WASP-41 b,3.0524,NA,270.1555,12.3299,0.81,5545,NA,0,Transit
WASP-43 b,0.813475,0.0142,565.714,10.424,0.58,4400,NA,0,Transit
WASP-44 b,2.423804,0.03453,276.5121,12.3299,0.935,5420,1337,NA,Transit
WASP-45 b,3.126089,0.03963,306.38812,10.603714,0.85,5150,1153,NA,Transit
WASP-46 b,1.43036763,0.02335,607.0553,13.159366,0.828,5600,1636,NA,Transit
WASP-48 b,2.14363,NA,254.264,16.8135,0.88,5920,NA,0,Transit
WASP-4 b,1.338230994,0.02261,381.3940884,15.12091496,0.899,NA,1653,NA,Transit
WASP-50 b,1.9551,0.0293,466.828704,13.069694,0.892,5400,1394.84,NA,Transit
WASP-5 b,1.6284279,0.0267,502.15,12.184,0.96,5700,1706,0.038,Transit
WASP-6 b,3.3610026,NA,148.42586607,12.5428494,0.854,5438,1167,NA,Transit
WASP-7 b,4.9546416,0.0617,305.1168,14.90797,1.276,6400,1487,NA,Transit
K2-263 b,50.818947,0.2573,14.9,2.41,0.88,5368,470,0.15,Transit
G 9-40 b,5.7459982,0.0418,4,1.9,0.2952,3395,440.6,0,Transit
HD 80653 b,0.719573,0.01661,5.72,1.613,1.18,5959,2463,0,Transit
2MASS J12073346-3932539 b,NA,NA,1652.7077164,15.69257298,NA,NA,1163,NA,Imaging
55 Cnc e,0.7365474,0.01544,7.99,1.875,0.905,5172,NA,0.05,Radial Velocity
CoRoT-10 b,13.2406,0.1055,874,10.87,0.89,5075,600,0.53,Transit
CoRoT-11 b,2.99433,0.0436,740.51,16.03,1.27,6440,1657,0,Transit
CoRoT-12 b,2.828042,0.04016,291.438,16.14,1.078,5675,1442,0.07,Transit
CoRoT-13 b,4.03519,0.051,415.704,9.92,1.09,5945,1700,0,Transit
CoRoT-14 b,1.51214,0.027,2415.4,12.22,1.13,6035,1952,0,Transit
CoRoT-17 b,3.7681,0.0461,772.29,11.43,1.04,5740,1626,0,Transit
CoRoT-18 b,1.9000693,0.0295,1102.82,14.68,0.95,5440,1550,0.08,Transit
CoRoT-19 b,3.89713,0.0518,352.78,14.46,1.21,6090,2000,0.047,Transit
CoRoT-1 b,1.5089557,NA,327.35,16.7,0.95,5950,1898,0,Transit
CoRoT-23 b,3.6313,0.048,889.9,11.77,1.14,5900,1660,0.16,Transit
CoRoT-2 b,1.7429935,0.02798,1102.82,16.432,0.96,5625,NA,0.0143,Transit
CoRoT-3 b,4.2568,NA,6883.91,11.32,1.37,6740,NA,0,Transit
CoRoT-4 b,9.20205,0.09,228.83,13.34,1.16,6190,1074,0,Transit
CoRoT-5 b,4.0378962,0.04947,148.42,15.558,1,6100,1438,0.09,Transit
CoRoT-6 b,8.886593,0.0855,940.74,13.068,1.05,6090,1017,0.1,Transit
CoRoT-7 b,0.85359163,NA,4.07660518,1.68135,0.82,5275,NA,0,Transit
CoRoT-8 b,6.21229,0.063,69.92,6.39,0.88,5080,NA,0,Transit
CoRoT-9 b,95.272656,0.4021,266.9772,11.948794,0.96,5625,420,0.133,Transit
CT Cha b,NA,440,5403,24.66,NA,NA,2600,NA,Imaging
GJ 1214 b,1.580404531,0.01505,8.41,2.733,0.182,3101,567,0.0062,Transit
GJ 436 b,2.64388312,0.0291,22.1,4.17,0.47,NA,NA,0.13827,Radial Velocity
GQ Lup b,NA,100,6356,33.6,0.7,NA,2650,NA,Imaging
HAT-P-12 b,3.2130598,0.0384,67.059,10.749,0.733,4650,963,0,Transit
HAT-P-13 b,2.91625,NA,270.462,14.258,NA,NA,NA,0.0133,Transit
HAT-P-14 b,4.62767,NA,1093.3352,15.91678,2.65,6600,NA,0.11,Transit
HAT-P-15 b,10.8635,NA,616.5902,11.88154,1,5568,NA,0.19,Transit
HAT-P-17 b,10.33852,NA,184.3414,11.76945,0.99,5246,NA,0.35,Transit
HAT-P-18 b,5.508023,0.0559,62.61,11.153,0.77,4803,852,0.084,Transit
HAT-P-19 b,4.00878322,0.04599,88.03846874,11.29865255,0.807,4962,981.2,NA,Transit
HAT-P-1 b,4.46529976,0.05561,166.86075,14.784671,1.151,5980,1322,NA,Transit
HAT-P-20 b,2.875317,0.0361,2302.899,9.718,0.756,4595,970,0.015,Transit
HAT-P-21 b,4.12448,NA,1547.8321,12.44199,1.24,5588,NA,0.23,Transit
HAT-P-22 b,3.21222,NA,785.0401,12.89035,1.13,5302,NA,0.02,Transit
HAT-P-23 b,1.212884,0.0232,664.237,15.334,1.13,5905,2056,0.106,Transit
HAT-P-24 b,3.3552399999999998,NA,238.3725,14.5717,1.37,6373,NA,0.07,Transit
HAT-P-25 b,3.65281514,0.0466,180.84527,12.722215,1.012,5519,1182,0.023,Transit
HAT-P-26 b,4.23452,NA,22.2481,7.06167,1.12,5079,NA,0.12,Transit
HAT-P-27 b,3.039577,0.04,197.05,11.43,0.916,5316,NA,0,Transit
HAT-P-28 b,3.257215,0.0434,198.953,13.585,1.025,5680,1384,0.051,Transit
HAT-P-29 b,5.72319,NA,279.6904,13.11453,1.45,6087,NA,0.09,Transit
HAT-P-30 b,2.8106,NA,263.7989,16.14096,1.55,6304,NA,0.04,Transit
HAT-P-31 b,5.00542,NA,721.4741,12.21781,1.31,6065,NA,0.25,Transit
HAT-P-32 b,2.1500082,0.03397,216.1244,22.19382,1.132,6001,1835.7,0.159,Transit
HAT-P-33 b,3.47447,NA,292.4036,20.73665,1.82,6446,NA,0,Transit
HAT-P-34 b,5.452654,0.06774,1058.3739,13.417173,1.392,6442,NA,0.432,Transit
HAT-P-35 b,3.646706,0.04978,335.62848,14.930388,1.236,6096,NA,0.02,Transit
HAT-P-36 b,1.32734683,0.0241,587.413406,14.313893,1.03,5620,1780.97,NA,Transit
HAT-P-37 b,2.797436,0.0379,371.528,13.204,0.929,5500,1271,0.058,Transit
HAT-P-3 b,2.8997,NA,206.5895,10.53646,1.06,5185,NA,0,Transit
HAT-P-4 b,3.056536,0.04438,213.255,14.28,1.248,5860,1686,0,Transit
HAT-P-5 b,2.78849,NA,311.4734,13.56289,1.04,5960,NA,0,Transit
HAT-P-6 b,3.85298,NA,419.5356,16.58932,1.79,6570,NA,0,Transit
HAT-P-8 b,3.07634,NA,406.8224,15.6926,1.27,6200,NA,0,Transit
HAT-P-9 b,3.92281072,0.05287,238.05467,15.614137,1.281,6350,1540,0.084,Transit
HD 118203 b,6.1349779,0.0713,680.15279098,12.778238,1.27,5742,1361,0.3136,Radial Velocity
HD 136352 b,11.57797,0.0964,4.72,1.664,0.87,5664,905,0,Radial Velocity
HD 136352 c,27.59221,0.1721,11.24,2.916,0.87,5664,677,0,Radial Velocity
HD 136352 d,107.245,0.425,8.82,2.562,0.87,5664,431,0,Radial Velocity
HD 149026 b,2.87589,NA,120.7754,8.29466,1.42,6179,NA,0,Radial Velocity
HD 17156 b,21.2164294,0.1632,1036.12060682,12.26262489,1.285,6046,888,0.6772,Radial Velocity
HD 189733 b,2.21857567,NA,359.1479,12.66617,0.79,5052,NA,0,Radial Velocity
HD 209458 b,3.52474859,NA,232.0159,15.58051,1.23,6091,NA,0,Radial Velocity
WASP-8 b,8.15872,NA,807.2882,12.66617,1.34,5600,NA,0.31,Transit
XO-1 b,3.94153,NA,263.7989,12.77826,0.88,5750,NA,0,Transit
XO-2 N b,2.61586178,0.0368,179.89178,11.130537,0.971,NA,NA,NA,Transit
XO-3 b,3.19152309,0.04815,4217.58296089,14.79585452,1.449,6970,1890,0.2791,Transit
XO-4 b,4.12508,NA,451.3186,14.01125,1.1,6397,NA,0,Transit
XO-5 b,4.1877558,0.0515,378.2,12.78,1.04,5430,1230,0,Transit
CoRoT-16 b,5.35227,0.0618,170.032,13.11,1.098,5650,NA,0.33,Transit
HN Peg b,NA,773,6991.57,11.7768,NA,NA,NA,NA,Imaging
Ross 458 c,NA,1100,1906.98,14.01125,NA,NA,NA,NA,Imaging
WASP-23 b,2.9444256,0.0376,280.95,10.783,0.78,5150,NA,0.062,Transit
KOI-55 b,0.240104,0.006,0.44,0.759,0.496,27730,NA,NA,Orbital Brightness Modulation
KOI-55 c,0.342887,0.0076,0.655,0.867,0.496,27730,NA,NA,Orbital Brightness Modulation
HATS-1 b,3.446459,0.0444,589.55,14.594,0.986,5870,1359,0.12,Transit
WASP-78 b,2.17518,NA,352.7913,21.63337,1.87,6100,NA,0,Transit
WASP-79 b,3.662392,0.0519,270.15414595,17.14974047,1.39,6600,1716.2,0,Transit
KELT-1 b,1.217514,0.02466,8654.15,12.442,1.335,6516,NA,0.0099,Transit
KELT-2 A b,4.11379,NA,540.311,15.13215,1.54,6327,NA,0,Transit
Kepler-36 b,13.86825,NA,3.83,1.498,1.034,5979,NA,0,Transit
GJ 3470 b,3.3366496,0.0355,13.9,4.57,0.539,3600,593.5,NA,Radial Velocity
HAT-P-39 b,3.54387,0.0509,190.372,17.609,1.404,6430,1752,0,Transit
HAT-P-40 b,4.45724,NA,152.5584,17.03768,1.03,6080,NA,0,Transit
HAT-P-41 b,2.69405,NA,378.2177,22.97845,2.56,6390,NA,0,Transit
WASP-42 b,4.9816819,0.0561,167.49641,12.576498,0.951,5315,1021,NA,Transit
WASP-47 b,4.159151,NA,374,12.86,1.058,NA,NA,6e-4,Transit
WASP-49 b,2.78174,NA,117.5971,12.44199,0.92,5600,NA,0,Transit
WASP-55 b,4.465631,NA,186.2474465,14.72860064,1.071,6096,1342,NA,Transit
WASP-61 b,3.8559,NA,851.7844,15.80469,1.82,6250,NA,0,Transit
WASP-62 b,4.41195,NA,165.2716,14.79588,1.11,6230,NA,0,Transit
WASP-63 b,4.37808,NA,117.5971,15.80469,1.28,5550,NA,0,Transit
WASP-66 b,4.08605,NA,746.9005,15.6926,1.33,6600,NA,0,Transit
WASP-67 b,4.61442,NA,136.6669,12.89035,0.91,5200,NA,0,Transit
HAT-P-38 b,4.640382,0.0523,84.857,9.247,0.886,5330,1082,0.067,Transit
Kepler-47 b,49.4643,0.2877,2.07,3.05,0.957,NA,NA,0.021,Transit
Kepler-47 c,303.227,0.9638,3.17,4.65,0.957,NA,NA,0.044,Transit
WTS-1 b,3.352057,0.047,1274.44,16.7,1.2,6250,1500,0.1,Transit
WASP-54 b,3.69364,NA,187.5197,17.71022,1.08,6100,NA,0.07,Transit
WASP-56 b,4.6171,NA,143.0235,10.53646,0.71,5600,NA,0,Transit
WASP-57 b,2.83891856,0.03769,204.68252,11.76945,0.886,5600,1338,NA,Transit
WASP-52 b,1.7497798,0.0272,146.2,14.24,0.87,5000,1315,0,Transit
WASP-58 b,5.01718,NA,308.2951,16.02887,1.06,5800,NA,0,Transit
WASP-59 b,7.919585,0.0697,274.276,8.687,0.719,4650,670,0.1,Transit
WASP-60 b,4.305,NA,174.8065,9.86392,1.19,5900,NA,0,Transit
WASP-64 b,1.5732918,0.02648,403.945,14.247,1.004,5400,1689,0,Transit
WASP-72 b,2.21673,NA,731.009,14.45961,2.78,6250,NA,0,Transit
WASP-80 b,3.06785234,0.0344,170.99254,11.197791,0.577,4143,825,0.002,Transit
WASP-71 b,2.90367,NA,441.7837,13.22662,0.76,6050,NA,0,Transit
PH1 b,138.317,0.652,169,6.18,1.528,6407,481,0.0702,Transit
KELT-3 b,2.70339,NA,616.5902,17.48604,1.96,6304,NA,0,Transit
Kepler-78 b,0.35500745,0.00901,1.68,1.201,0.779,5058,2223,0,Transit
HD 203030 b,NA,NA,3496.112477,14.4595851,NA,NA,1040,NA,Imaging
POTS-1 b,3.1606296,0.03734,734.16,10.548,0.695,4400,NA,NA,Transit
HATS-2 b,1.35413379,0.02317,435.42491759,12.57647635,0.904,NA,1550,NA,Transit
HATS-3 b,3.547851,0.0485,340.382,15.48,1.209,6351,1648,0,Transit
WASP-65 b,2.3114243,0.0334,492.62,12.464,0.93,5600,1480,0,Transit
WASP-75 b,2.484193,0.0375,340.06,14.235,1.14,6100,1710,0,Transit
HAT-P-42 b,4.641878,0.0575,331.801,14.348,1.178,5743,1428,0,Transit
WISEP J121756.91+162640.2 A b,NA,8,6992,10.468,0.029,575,450,NA,Imaging
CoRoT-27 b,3.57532,0.0476,3302.11,11.287,1.05,5900,1500,0.065,Transit
WASP-103 b,0.925542,0.01985,473.547,17.127,1.22,6110,2508,NA,Transit
KELT-6 b,7.8457,NA,165.2716,14.5717,1.42,6102,NA,0.22,Transit
Kepler-413 b,66.262,0.3553,67,4.347,0.82,4700,NA,0.1181,Transit
HAT-P-49 b,2.69155,NA,699.226,17.82231,2.22,6820,NA,0,Transit
WTS-2 b,1.0187068,0.01855,355.9696,15.277867,0.82,5000,2000,0,Transit
WASP-68 b,5.0843,NA,343.2564,14.79588,1.49,5910,NA,0,Transit
WASP-73 b,4.08722,NA,908.9938,15.91678,2.52,6030,NA,0,Transit
WASP-88 b,4.954,NA,133.4886,16.36514,0.94,6430,NA,0,Transit
WASP-95 b,2.18467,NA,457.6752,13.78707,1.46,5830,NA,0,Transit
WASP-96 b,3.4252602,0.0453,152.55,13.45,1.06,5540,1285,0,Transit
WASP-97 b,2.07276,NA,432.2488,12.77826,1.18,5640,NA,0,Transit
WASP-98 b,2.96264036,0.03762,293.03926,12.823096,0.809,5473,1171,NA,Transit
WASP-99 b,5.75251,NA,772.3269,11.43318,1.21,6150,NA,0,Transit
WASP-100 b,2.84938,NA,400.4658,14.90797,0.77,6900,NA,0,Transit
WASP-101 b,3.58572,NA,162.0933,16.02887,1.41,6380,NA,0,Transit
CoRoT-25 b,4.86069,0.0578,85.81,12.11,1.09,6040,1330,0,Transit
CoRoT-26 b,4.20474,0.0526,165.26,14.12,1.09,5590,1600,0,Transit
HAT-P-44 b,4.301219,0.0507,111.871,13.922,0.942,5295,1108,0.044,Transit
HAT-P-45 b,3.128992,0.0452,283.492,15.984,1.259,6330,1652,0.049,Transit
HAT-P-46 b,4.463129,0.0577,156.684,14.392,1.284,6120,1458,0.123,Transit
GU Psc b,NA,2000,3591.3,14.179,0.325,NA,1050,NA,Imaging
HATS-5 b,4.763387,0.0542,75.323,10.223,0.936,5304,1025,0.019,Transit
CoRoT-24 b,5.1134,0.056,5.7,3.7,0.91,4950,1070,0,Transit
CoRoT-24 c,11.759,0.098,28,5,0.91,4950,850,0,Transit
HATS-4 b,2.516729,0.0362,420.471,11.433,1.001,5403,1315,0.013,Transit
CoRoT-22 b,9.75598,0.092,12.2,4.88,1.099,5939,885,0.077,Transit
WASP-117 b,10.02165,NA,95.349,11.88154,1.29,6040,NA,0.3,Transit
WASP-104 b,1.7554137,0.02918,404.263,12.745,1.076,5475,1516,0,Transit
WASP-106 b,9.28969,0.0901,613.40882551,12.10569916,1.175,6002,NA,0.023,Transit
WASP-94 A b,3.95019,NA,158.915,17.71022,1.67,6170,NA,0,Transit
WASP-69 b,3.86813881,0.0453,82.58,11.21,0.83,4792,971,0,Transit
WASP-70 A b,3.7130203,0.04853,187.512,13.047,1.106,5763,1387,0,Transit
WASP-84 b,8.52349648,0.0778,220,10.72,0.853,NA,732,NA,Transit
Kepler-289 d,66.0282,NA,5.33,3.03,1.08,5990,NA,NA,Transit
HIP 116454 b,9.1004157,0.0792,9.7,2.469,0.8,5048,753.2,0.215,Transit
WASP-82 b,2.70579,NA,371.8611,18.15858,1.48,6480,NA,0,Transit
K2-3 b,10.0546535,0.0747,5.11,2.078,0.549,3844,501.3,0.107,Transit
K2-3 c,24.646729,0.1357,2.68,1.582,0.549,3844,371.8,0.048,Transit
K2-3 d,44.55603,0.2014,2.2,1.458,0.549,3844,305.2,0.091,Transit
CoRoT-28 b,5.20851,0.0603,153.82972,10.704595,1.01,5150,NA,0.047,Transit
CoRoT-29 b,2.85057,0.0386,270.1555,10.0881,0.97,5260,NA,0.082,Transit
HAT-P-54 b,3.799847,0.04117,241.5508,10.581296,0.645,4390,818,0.074,Transit
HD 100546 b,NA,53,2701.5414595,77.3421,2.4,10500,NA,NA,Imaging
HATS-6 b,3.3252725,0.03623,101.38777,11.186582,0.574,3724,712.8,0,Transit
VHS J125601.92-125723.9 b,5800000,350,5085.254512,13.67495645,NA,NA,1194,0.68,Imaging
2MASS J02192210-3925225 b,NA,156,4417.837,16.14096,0.108,3064,NA,NA,Imaging
HATS-10 b,3.312846,0.04491,167.17858,10.861521,1.101,5880,1407,0.501,Transit
KELT-7 b,2.73477,NA,441.7837,17.9344,1.76,6768,NA,0,Transit
HAT-P-55 b,3.5852313,0.04628,189.42573057,14.84069045,1.028,5804,1367,NA,Transit
HATS-8 b,3.583893,0.04667,43.86054,9.785457,1.056,5679,1324,0.376,Transit
WASP-74 b,2.13775,NA,228.8376,15.24424,0.98,5990,NA,0,Transit
WASP-83 b,4.971252,0.059,95.349,11.65736,1.11,5510,1120,0,Transit
WASP-89 b,3.3564227,0.0427,1875.197,11.65736,0.92,5130,1120,0.193,Transit
K2-19 b,7.9222,NA,32.4,7,0.88,5322,NA,0.2,Transit
K2-19 c,11.8993,NA,10.8,4.1,0.88,5322,NA,0.21,Transit
K2-10 b,19.30553,NA,25.2,3.773,0.88,5533,649,NA,Transit
K2-12 b,8.28246,0.0792,5.2,2.44,0.965,5672,1026,0.5,Transit
K2-18 b,32.939623,0.1429,8.92,2.37,0.359,3457,284,0.2,Transit
HAT-P-56 b,2.79083,NA,734.1873,16.92559,1.42,6566,NA,NA,Transit
HD 219134 b,3.092926,0.03876,4.74,1.602,0.81,4699,1015,0,Radial Velocity
HD 219134 c,6.76458,0.0653,4.36,1.511,0.81,4699,782,0.062,Radial Velocity
HD 219134 d,46.859,0.237,16.17,1.61,0.81,4699,410.5,0.138,Radial Velocity
HATS-13 b,3.0440499,0.04057,172.58169,13.585308,0.962,5523,1244,0.181,Transit
HATS-14 b,2.7667641,0.03815,340.39593,11.646151,0.967,5346,1276,0.142,Transit
KELT-8 b,3.24406,NA,209.7678,18.15858,0.81,5754,NA,0.04,Transit
WASP-47 d,9.030501,NA,15.5,3.65,1.058,NA,NA,0.001,Transit
WASP-47 e,0.78961,NA,9,1.83,1.058,NA,NA,0,Transit
Kepler-453 b,240.503,0.7903,16,6.204,0.944,5527,NA,0.0359,Transit
HAT-P-57 b,2.4653,NA,448.1403,19.50366,2.77,6330,NA,0,Transit
GJ 1132 b,1.62892911,0.0157,1.83704819,1.19151465,0.1945,3229,583.8,0.0118,Transit
HAT-P-50 b,3.1220109,0.0453,429.0705,14.437192,1.273,6280,1862,0.115,Transit
HAT-P-51 b,4.21802091,0.05042,97.57332095,13.50682174,0.961,5453,1168.2,NA,Transit
HAT-P-52 b,2.7535953,0.03694,259.98494,11.309881,0.887,5131,1218,0.047,Transit
HAT-P-53 b,1.9616241,0.03159,471.65972,14.773462,1.093,5956,1778,0.134,Transit
HD 219134 f,22.717,0.1463,7.3,1.31,0.81,4699,522.6,0.148,Radial Velocity
WASP-135 b,1.4013794,0.0243,603.877,14.5717,0.98,5675,NA,0,Transit
K2-25 b,3.48456408,0.0287,24.5,3.44,0.2634,3207,494,0.428,Transit
WASP-76 b,1.80988198,0.033,284.13859586,20.78145022,1.458,6329,2228,0,Transit
WASP-90 b,3.916243,0.0562,200.2329,18.27067,1.55,6430,1840,0,Transit
KELT-4 A b,2.9895932,0.04317,286.68266,19.044091,1.201,6206,1823,0,Transit
KELT-14 b,1.7100566,0.03005,408.09372,19.537287,1.239,5720,1970,0,Transit
KELT-15 b,3.32944,NA,416.3573,19.50366,2.06,6003,NA,0,Transit
K2-29 b,3.2588321,0.04217,232.0159,13.33871,0.94,5358,1171,0.066,Transit
HATS-17 b,16.254611,0.1308,425.25654,8.709393,1.131,5846,814,0.029,Transit
K2-30 b,4.098503,0.04839,184.02357,11.646151,0.9,5425,1092,0,Transit
KELT-10 b,4.1662739,0.0525,215.80657,15.681391,1.112,5948,1377,NA,Transit
TRAPPIST-1 b,1.510826,0.01154,1.374,1.116,0.0898,2566,NA,NA,Transit
TRAPPIST-1 c,2.421937,0.0158,1.308,1.097,0.0898,2566,NA,NA,Transit
TRAPPIST-1 d,4.049219,0.02227,0.388,0.788,0.0898,2566,NA,NA,Transit
WASP-119 b,2.49979,0.0363,390.9309,15.6926,1.02,5650,1600,0.058,Transit
WASP-124 b,3.37265,0.0449,190.698,13.89916,1.07,6050,1400,0.017,Transit
WASP-129 b,5.748145,0.0628,317.83,10.42437,1,5900,1100,0.096,Transit
WASP-133 b,2.176423,0.0345,368.6828,13.56289,1.16,5700,1790,0.17,Transit
Kepler-1647 b,1107.5923,2.7205,483,11.8739,1.2207,6210,NA,0.0581,Transit
HATS-25 b,4.2986432,0.05163,194.82979,14.12334,0.994,5715,1277,0.176,Transit
HATS-26 b,3.3023881,0.04735,206.5895,19.61575,1.299,6071,1918,0.245,Transit
HATS-27 b,4.637038,0.0611,168.4499,16.8135,1.415,6438,1659,0.581,Transit
HATS-28 b,3.1810781,0.04131,213.58176,13.383546,0.929,5498,1253,0.202,Transit
HATS-29 b,4.6058749,0.05475,207.54299,14.022459,1.032,5670,1212,0.158,Transit
HATS-30 b,3.1743516,0.04354,224.38798,13.170575,1.093,5943,1414,0.096,Transit
WASP-121 b,1.27492504,0.02571,371.85923619,19.52604438,1.33,6628,2409,NA,Transit
HATS-15 b,1.74748753,0.02712,689.6911,12.385945,0.871,5311,1505,0.126,Transit
HATS-16 b,2.686502,0.03744,1039.3041,14.5717,0.97,5738,1592,0,Transit
K2-38 b,4.01593,0.04994,7.3,1.54,1.03,5731,1266,0.197,Transit
K2-38 c,10.56103,0.09514,8.3,2.29,1.03,5731,916,0.161,Transit
HIP 41378 b,15.57208,NA,6.89,2.595,1.16,6320,959,NA,Transit
HIP 41378 c,31.70603,NA,4.4,2.727,1.16,6320,757,NA,Transit
HIP 41378 d,278.3618,NA,4.6,3.54,1.16,6320,367,NA,Transit
HIP 41378 e,369,NA,12,4.92,1.16,6320,335,NA,Transit
HIP 41378 f,542.07975,NA,12,9.2,1.16,6320,294,NA,Transit
WASP-113 b,4.54216874538,0.05885,150.96925,15.793481,1.318,5890,1496,0,Transit
WASP-114 b,1.5487743,0.02851,562.24127,15.008851,1.289,5940,2043,0.012,Transit
BD+20 594 b,41.6855,NA,22.2481,2.57807,1.67,5766,NA,0,Transit
HD 3167 b,0.959641,0.01796,4.97,1.67,0.837,5261,1774,0,Transit
HD 3167 c,29.8454,0.1776,11.13,3,0.837,5261,564,0.06,Transit
KELT-17 b,3.0801716,0.04881,416.3573,17.093725,1.635,7454,2087,NA,Transit
WASP-92 b,2.1746742,0.0348,255.85315,16.376349,1.19,6280,1871,0,Transit
WASP-93 b,2.7325321,0.04211,467.2101,17.900773,1.334,6700,1942,0,Transit
WASP-118 b,4.0460435,0.05453,163.36462,16.14096,1.32,6410,1729,0,Transit
HAT-P-65 b,2.60544751,0.04042,176.07693748,18.05766791,1.297,5872,1818,NA,Transit
HAT-P-66 b,2.972086,0.04363,248.86089,17.82231,1.255,6002,1896,0.09,Transit
HATS-18 b,0.83784,0.0174,629.144485,14.896761,1.037,5600,2069.48,NA,Transit
WASP-130 b,11.55098,0.1012,390.9309,9.97601,1.04,5625,833,0,Transit
WASP-131 b,5.3220125,0.0608,86.76715511,13.74221034,1.06,5990,NA,0,Transit
WASP-132 b,7.1335164,0.0674,136.0305582,10.09929161,0.789,4686,682,0.0163,Transit
WASP-139 b,5.924262,0.062,37.18611,8.9672,0.92,5310,910,0,Transit
WASP-141 b,3.310651,0.0469,854.9627,13.56289,1.25,5900,1540,0,Transit
WASP-142 b,2.052868,0.0347,266.9772,17.14977,1.33,6010,2000,0,Transit
HATS-31 b,3.37796,0.0478,279.6904,18.38276,1.275,6050,1823,0.233,Transit
HATS-32 b,2.8126548,0.04024,292.4036,14.000041,1.099,5700,1437,0.471,Transit
HATS-33 b,2.5495551,0.03727,378.85336,13.78707,1.062,5659,1429,0.08,Transit
HATS-34 b,2.1061607,0.03166,299.07803,16.02887,0.955,5380,1445,0.108,Transit
HATS-35 b,1.8209993,0.03199,388.38826,16.409976,1.317,6300,2037,0.306,Transit
WASP-127 b,4.17806203,0.0484,52.346601,14.694999,0.95,NA,NA,0,Transit
WASP-138 b,3.634433,0.0494,387.7526,12.21781,1.22,6272,1590,NA,Transit
XO-6 b,3.7650007,0.0815,1398.452,23.20263,1.47,6720,1577,0,Transit
